25-01-18 10:47:36.864 [restartedMain] INFO  c.userbeat.entry.UserBeatApplication - Starting UserBeatApplication using Java 21.0.3 with PID 5356 (C:\Users\shubham\Documents\workspace-spring-tool-suite-4-4.23.0.RELEASE\UserBeat\target\classes started by shubham in C:\Users\shubham\Documents\workspace-spring-tool-suite-4-4.23.0.RELEASE\UserBeat) 
25-01-18 10:47:36.865 [restartedMain] INFO  c.userbeat.entry.UserBeatApplication - No active profile set, falling back to 1 default profile: "default" 
25-01-18 10:47:37.471 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
25-01-18 10:47:37.500 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 2 JPA repository interfaces. 
25-01-18 10:47:37.823 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-01-18 10:47:37.828 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-01-18 10:47:37.830 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25] 
25-01-18 10:47:37.882 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-01-18 10:47:37.883 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1011 ms 
25-01-18 10:47:38.006 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
25-01-18 10:47:38.011 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled 
25-01-18 10:47:38.026 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
25-01-18 10:47:38.029 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Starting... 
25-01-18 10:47:38.061 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-4 - Added connection com.mysql.cj.jdbc.ConnectionImpl@656ef048 
25-01-18 10:47:38.062 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Start completed. 
25-01-18 10:47:38.207 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
25-01-18 10:47:38.302 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
25-01-18 10:47:38.618 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
25-01-18 10:47:38.642 [restartedMain] INFO  c.u.entry.config.SecurityConfig - Configuration AuthenticationProvider 
25-01-18 10:47:38.646 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider 
25-01-18 10:47:38.647 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. 
25-01-18 10:47:38.831 [restartedMain] INFO  c.u.entry.config.SecurityConfig - Configuring SecurityFilterChain 
25-01-18 10:47:39.105 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
25-01-18 10:47:39.140 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-01-18 10:47:39.151 [restartedMain] INFO  c.userbeat.entry.UserBeatApplication - Started UserBeatApplication in 2.548 seconds (process running for 3833.898) 
25-01-18 10:47:39.158 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged 
